NO;TGL_KOMITE;COMPANY;NO_TENDER;GOODS/SERVICES;ITEM_NAME;HARGA_SEBELUMNYA _(RP);TAHUN_PEMBELIAN_SEBELUMNYA;Purpose_Request;LINK_EPROC;PIC;VENDOR;SUMMARY_KOMITE;HASIL_FOLLOW_UP;REMARKS;VOTE;Notes
1;2025-10-28;LGTC;EPR/2510/00054;;PENGECATAN LGTC INTERIOR RUANG KELAS LGTC A & B BALARAJA;;;;;RENDI;3 vendor : Putra Mitra Semesta, Cahaya Karya Prakarsa, Enggal Bangun Jaya;Ibu sebelumnya sudah okein karena ajuannya eksterior dan interior, namun di LGTC B lt.2&4 ini ada bocor dan masuk ke sela-sela AC jadi dihold dulu yang interior;"Harga sebelumnya belum dinego dan sekarang sudah dinego. Info Pak David harga pasarnya 36.000 tapi ini sudah dibawahnya yaitu 34.000.

Nama File : ""Pengecetan Interior LGTC Vote Komite.pdf""
Nama File SPK : ""066 - SPK Pekerjaan Waterproofing Gedung LGTC B - Balaraja Done""";;CONFIRMED;
2;2025-11-11;GSE;EPR/2510/00022;;PERBAIKAN CONVEYOR DOLLIES LOADER (CDL 22 UNIT) & PALLET DOLLIES LOADER (PDL 6 UNIT) CGK;BELUM PERNAH PERBAIKAN;CDL = APRIL 2018 & PDL = JAN 2019;;;;;PT Banjar di PDL 5juta (lebih murah) daripada di CDL 8jt, jika CDL & PDL pakai vendor yang sama (PT Banjar), bisa ada pengurangan biaya di CDL?;;;;
3;2025-11-11;GSE;EPR/2510/00196;;PENGADAAN KABEL RECEPTACLE GPU ASSY 30FT & HOSE INSULATED TLD;BY EXCEL;;;;;;PO ke vendor termurah;Kabel  Gpu Assy,  Plug Assy Gpu AC, DC, Velg, Ban PDL & Spare Part Kend utk Trspt BLJ Ttl Rp.1.109.548.323. utk GSE Project Cgk, Distrik & utk Trspt BLJ rutin 6bln @ Rp.61.205.971;;;
4;2025-11-11;BOGA;EPR/2510/00304;;PENGADAAN MESIN DISHWASHER;;;;https://eproc.lionair.co.id/Internal/frmSummaryVendorKomite.aspx?ID=EPR/2510/00304;;;DONE;;;CONFIRMED;
5;2025-11-11;BOGA;EPR/2510/00262;;UNIT AHU WHO CONDITIONER;;;;;;;Makesure price-nya ke vendor;"Dengan vendor Eski Elektrik dengan total 1.465.200.000 (include PPn)

Memakai vendor Anugrah Tirta Artha :
- Harga saat komite : 1.656.900
- Harga setelah nego : 1.635.000
Memakai vendor Eski Elektrik :
- Harga saat komite : 1.390.000
- Harga setelah nego : 1.320.000";;;
6;2025-11-11;BOGA;EPR/2510/00264;;MESIN CHILLER AC;;;;;;;;"Memakai vendor Eski Elektrik:
- Harga saat komite : 432.000.000
- Harga setelah nego : 415.000.000 (diskon 17.000.000)
dengan total 460.650.000

Notes :
- Harga sudah termasuk PPN, namun blm termasuk potong PPH
- Garansi mesin & equipments selama 1 tahun
- Lama pekerjaan instalasi : 1-3 bulan";;;
7;2025-11-11;BOGA;EPR/2508/00105;;ATK STATIONARY (RUTIN); BY EXCEL ;;;;;;DONE;;;;
8;2025-11-11;BOGA;EPR/2510/00153;;MASKER, SARUNG TANGAN, HAIRNET (RUTIN); BY EXCEL ;;;;;;"1. Menggunakan PT Trasti
2. Follow up pengecekan sample di vendor baru
3. Sarung tangan pindah vendor dari Sapta ke Trasti";untuk sarung tangan sudah dipindahkan ke vendor Trasti;;;
9;2025-11-11;BOGA;EPR/2510/00157;;ALUMUNIUM & WRAP (RUTIN); BY EXCEL ;;;;;;"1. Follow up pengecekan sample di vendor baru
2. Pengecekan halal claimed";1. Tidak perlu halal, tapi butuhnya sertifikat foodgrade (sudah ada dan dicollect oleh Dept QA LB) dan tidak perlu sample lagi karena yang join tender vendor existing yang sudah pernah kasih sample sebelumnya;;;
10;2025-11-11;BOGA;EPR/2510/00199;;PLASTIK ROTI PNB (RUTIN); BY EXCEL ;;;;;;Cek kembali stock plastik ke Lion Boga;SOH sudah dilampirkan di summary tender. Dan nanti pada saat pengajuan akan diupdate juga SOH yang terbaru;;;
11;2025-11-11;BOGA;EPR/2510/00127;;PLASTIK MIKA, SENDOK DAN CAKE CASE (RUTIN); BY EXCEL ;;;;;;"1. Follow up pengecekan sample di vendor baru
2. Pengecekan halal claimed";"1. Hanya ada diskon di sendok & garpu set (20/pcs)
2. Tidak perlu halal, tapi butuhnya sertifikat foodgrade (sudah ada dan dicollect oleh Dept QA LB) dan tidak perlu sample lagi karena yang join tender vendor existing yang sudah pernah kasih sample sebelumnya";;;
12;2025-11-11;LEX;EPR/2510/00350;;CONTAINER OFFICE DISTRIK PKU (40 FT) DAN BKS (20 FT); 40 FT FRANCO KALIMANTAN RP. 300,000,000 DAN RP. 220,000,000 FRANCO SUMATRA EXC PPN ;2025;;;;;Set KPI untuk waktu request;"Container Office Own Sales BKS 20 ft menggunakan vendor RICH dengan:
- Harga Satuan : 220.000.000
- Diskon : 20.000.000
- PPn : 22.000.000
- Total : 222.000.000";;;
13;2025-11-11;LEX;EPR/2510/00349;;PROJECT 1 KECAMATAN 1 POS PLATINUM (REBRANDING); PROJECT BARU ;;;;;;;;;;
14;2025-11-11;LEX;EPR/2510/00372;;PENGADAAN KURSI DAN MEJA STAFF UNTUK TIM OPERATIONAL & TIM FIELD OCT LEX;MEJA Rp 885.000 (INCLD), KURSI Rp 431.000 (INCLD);;;;;;"1. Make sure ke gudang Lion Parcel, bagaimana keadaan meja dan kursi staffnya
2. Terkait AC (customer satisfaction), follow up untuk decision AC sentral atau AC fleet";;;;
15;2025-11-11;JT;EPR/2510/00250;;PENGADAAN AC 1/2 PK UNTUK MESS MT ( REQBLJJT09250031 & REQBLJJT10250027 );RP. 2.800.000;;;;;;PO ke vendor termurah;"Memakai vendor Tronindo Sukses Makmur :
- Harga sebelum nego : 2.650.000
- Harga setelah nego : 2.600.000";;;
16;2025-11-11;JT;EPR/2510/00351;;PENGADAAN AC 1/2 PK & 1 PK UNTUK MESS 3 PRAMUGARA BLOK K9 & PENGGANTIAN AC YANG SUDAH RUSAK ( REQBLJJT10250011 );RP. 2.800.000   & RP. 3.100.000;;;;;;;"Memakai vendor Tronindo Sukses Makmur :
AC 1/2 PK:
- Harga sebelum nego : 2.650.000
- Harga setelah nego : 2.600.000
AC 1 PK:
- Harga sebelum nego : 3.125.000
- Harga setelah nego : 3.100.000";;;
17;2025-11-11;JT;EPR/2510/00208;;PIPA GALVANIS SC40 3 INCHI;;;;;;;"1. Follow up vendor termurah di BTH dan kedua termurah di JKT
2. Negosiasi dengan vendor kedua termurah yang di JKT";;;;
18;2025-11-11;JT;EPR/2510/00433;;PERPINDAHAN MEJA RECEPCIONIST DAN REDESIGN INTERIOR LOBBY GEDUNG MERAH PERKANTORAN LOC;;;;;;;"1. Negosiasi harga ke PT. Sinergi Cipta Kreasi untuk renovasi
2. Confirm hapus sofa dari list PT. SCK dan kurangi biayanya";"1. Negosiasi harga dengan SCK untuk pekerjaan Lobby lt1
- Harga saat komite : 79.930.000
- Harga setelah nego : 67.930.000 (diskon 12juta)
Dengan total menjadi Rp. 97.446.900

2. Sofa, meja, dan kursi sudah tidak diajukan dalam invoice

Update:
- Menggunakan vendor Kevin Furniture
- Harga partisi sudah turun dan sudah dikirimkan gambar partisinya di grup komite";#NAME?;;
19;2025-11-11;JT;EPR/2510/00081;;PERBAIKAN DINDING DI RUANG STORE CGK K1 dan DINDING TEMPAT WUDHU GUDANG PENYIMPANAN CG02 GEDUNG EBU STA CGK;;;;;;;;;;;
20;2025-11-11;JT;EPR/2508/00048;;PENGERJAAN RUANGAN FLOPS BERSAMA KANTOR APO SURABAYA;;;;;;;"Follow up ke Ko David detail kebutuhan renovasi flops di Surabaya (Painting/Ceiling/Lighting) - BUAT
LEVEL (based on assessment, bantu membuat plan
level 1 - 3) ditujukan agar vendor tidak memberi harga tinggi. Deadline next week.";done;;;
21;2025-11-11;OD-CARGO;EPR/2510/00007;;PURCHASE OF SLAVE PALLET;NIL;;;;;;DONE;NEW pallet (before this, OD we dont have cargo warehouse, use 3rd party pos logistics);;;
22;2025-11-11;OD-FLIGHT OPS;EPR/2510/00004;;CABIN CREW LUGGAGE SET;"RM307.79
Trolley Bag - RM 170.60
Cosmetic Bag - RM 77
Hand Bag - RM 60.19";2024;;;;;DONE;initial quality not good from jakarta then we order from malaysia;;;
23;2025-11-11;OD-GROUND OPS;EPR/2510/00005;;CUSTOMER SERVICE UNIFORM;"CSO female shirt - RM 42
CSO male shirt - RM 40
PANTS - NEW
BELT - NEW";2024;;;;;DONE;quality not good and the size is small and malaysia price is cheaper (pls refer comparison price);;;
24;2025-11-11;OD-RAMP;EPR/2510/00006;;PURCHASE OF NEW CARGO ULD DOLLY & TRAILER;NIL;;;;;;DONE;NEW dolly & trailer (before this, OD we dont have cargo warehouse, use 3rd party pos logistics);;;
25;2025-11-11;SL;EPR/2510/00002;;Group Insurance 2026 OPD :1500;THB 5,929 (1916 staffs);2024;;;;;DONE;Staff health insurance (current 2823 staffs) - pls refer to SL insurance sheet;;;
26;2025-11-11;SL;EPR/2510/00003;;Group Insurance 2026 OPD :2000;;;;;;;DONE;Staff health insurance (never use before);;;
27;2025-11-11;BAT;EPR/2510/00017;;PENGAJUAN POMPA JOCKY HYDRANT DAN SERVICE POMPA DIESEL HYDRANT HANGAR BATAM;;;;;;;;"Memakai vendor PT Ilham Karya Teknologi:
Pompa Jockey
- Harga awal : 39.000.000
- Harga setelah nego : 38.000.000 (diskon 1.000.000)
Service Pompa Diesel
- Harga awal : 61.200.000
- Harga setelah nego : 60.200.000 (diskon 1.000.000)

Notes :
- Pembayaran DP 50%, 50% after done
- Lead time pengerjaan 30 days";;;
28;2025-11-11;BAT;EPR/2509/00104;;PENGADAAN LAMPU PJU UNTUK HANGAR BATAM;;;;;;;;"Memakai vendor PT Momentum Otomasi:
- Harga awal : 72.560.780
- Harga setelah nego : 72.000.000 (diskon 560.780)

Notes :
- DP 30%, 70% after finish
- Lead time pengerjaan 1 bulan
- Tipe lampu merupakan tipe lampu biasa, bukan baterai/solar sistem
- Warranty 1 tahun all in";;;
